Documents,Sentiment
the you ooh ooh ooh you ooh ooh ooh part randomly popped   head and here  ,positive
more than views  seems like   not the only one who wanted   back  the summer ,positive
  crazy how many people  will return  listen this legendary song fire trophy,positive
its may lets see how many legends are still listening  this masterpiece blue heart,positive
  brazilian and  love american music  love america  love united states  love you  dream   become one  you red heart brazil,positive
 remember hearing this song every day   summer camp    crazy how that happened almost years ago good memories and fun times smiling face with smiling eyes,neutral
this song never gets old  matter how much  listen  never get bored,positive
how  this almost years old already ,positive
rihanna   versatilethe music industry  not the same without her,positive
the fact that this song has been put almost years and  have been listening   almost everyday since  came out that  how good this song ,positive
      sigue siendo una obra  arte simplemente genial,neutral
essa  sica   uma vibe inexplic vel  sica lend ria fire fire,negative
this song never gets old  still cant stop listening  ,positive
  acredito que essa  sica virou trend  tiktok,positive
sem explica  para essa mulher  sicas perfeitas red heart,positive
esse momento lindo demais,positive
today  back here  listen  this great tune again  love this song,positive
pode passar tempos  mais tempos mas  nunca irei esquecer  nem parar  ouvir essa  sica  rio irei sempre escutar como  fosse  primeira vez smiling face with heart eyes smiling face with heart eyes heart with ribbon heart with ribbon heart with ribbon heart with ribbon heart with ribbon,positive
calvin harris  rihanna  complemetan demasiado ellos nunca decepcionan tema que sacan  rompen fire fire,negative
this song wont  forgotten  matter how many times  listen    will never get old,positive
